case,sound_ok,enum_var_bits,enum_count,abs_time_s,exact_time_s,abs_known_ratio,exact_known_ratio,abs_avg_unknown_bits,exact_avg_unknown_bits,abs_avg_range_span,exact_avg_range_span,issues_count
case01_bitops,True,4,16,0.000326,0.000904,0.7500,0.7500,2.00,2.00,33.00,33.00,0
case02_concat_extract,True,3,8,0.000158,0.000225,0.6250,0.6250,2.25,3.00,40.50,69.00,0
case03_ext_trunc,True,3,8,0.000249,0.000332,0.6273,0.3333,2.33,4.00,7.33,7.00,0
case04_add_sub_wrap,True,2,4,0.000194,0.000211,0.4375,0.1250,2.25,3.50,6.25,9.00,0
case05_shift_range,True,5,32,0.000355,0.001548,0.2167,0.0417,5.60,7.67,141.40,162.00,0
case06_mux_join,True,6,64,0.000255,0.001774,0.5000,0.5000,2.00,4.00,28.57,51.00,0
case07_cmp_must,True,8,256,0.000185,0.005591,0.7500,1.0000,2.00,0.00,7.50,0.00,0
case08_mix_small,True,6,64,0.000413,0.002909,0.4630,0.0000,3.33,8.00,104.44,238.00,0
case09_alu_small,True,10,1024,0.000716,0.117662,0.4167,0.5000,1.70,2.00,4.90,7.50,0
case10_bitmanip_small,True,7,128,0.000505,0.008420,0.3363,0.0000,3.86,8.00,116.21,203.00,0
